description,crime_type,severity,legal_sections,resolution,source
gang rape by two men known to the victim. family pressured her not to report.,sexual_assault,4,"IPC 376D, IPC 506",One Stop Centre provided shelter. Fast-track court convicted both men.,seed_verified
father-in-law sexually assaulted her repeatedly when husband was away for work.,sexual_assault,4,"IPC 376, IPC 498A, DV Act 2005",iCall helpline guided her to police. FIR registered. Accused arrested.,seed_verified
woman raped by auto driver on the way home at night.,sexual_assault,4,"IPC 376, IPC 506",Police caught driver using CCTV. Fast-track court convicted him.,seed_verified
minor girl aged 14 raped by school teacher during extra class.,sexual_assault,4,"POCSO Act, IPC 376",Teacher arrested. POCSO court convicted him — 10 years jail.,seed_verified
colleague drugged her drink at office party and assaulted her.,sexual_assault,4,"IPC 376, IPC 328",Medical examination confirmed assault. Accused arrested. DNA evidence used.,seed_verified
university professor coerced student into sexual relationship for better grades.,sexual_assault,3,"IPC 376, POSH Act",University ICC complaint. Police FIR filed. Professor dismissed.,seed_verified
stepfather sexually abused daughter from age 10 to 15.,sexual_assault,4,"POCSO Act, IPC 376 AB",Teacher reported to CWC. Stepfather arrested. Convicted — 20 years.,seed_verified
woman assaulted by security guard at her apartment complex at night.,sexual_assault,4,"IPC 376, IPC 354",CCTV evidence. Guard arrested same night. Fast-track case filed.,seed_verified
male colleague sent explicit messages and touched her inappropriately at workplace.,workplace_harassment,2,"IPC 354A, POSH Act 2013",Filed complaint with ICC. ICC found accused guilty. Terminated.,seed_verified
boss threatened to fire her if she did not comply with his sexual advances.,workplace_harassment,2,"IPC 354A, POSH Act 2013, IPC 506",ECC found employer guilty. Compensation offered.,seed_verified
senior male teacher made obscene comments to a 17-year-old student repeatedly.,workplace_harassment,3,"POCSO Act Section 11, IPC 354A",FIR under POCSO. Teacher arrested and suspended.,seed_verified
doctor at government hospital demanded sexual favours to approve medical leave.,workplace_harassment,2,"IPC 354A, Prevention of Corruption Act",SHe-Box complaint filed. Doctor suspended.,seed_verified
employer took explicit photos of woman employee during office trip without her knowledge.,workplace_harassment,3,"IT Act 66E, IPC 354C, POSH Act",ICC investigation plus police FIR. Employer convicted.,seed_verified
domestic worker sexually harassed by male employer daily.,workplace_harassment,2,"IPC 354A, IPC 506, Payment of Wages Act",NCW complaint. Police registered FIR. Wages recovered.,seed_verified
woman nursing student harassed by senior doctor during hospital rounds.,workplace_harassment,2,"IPC 354A, POSH Act 2013",External Complaints Committee filed. Doctor suspended for 2 years.,seed_verified
female journalist groped by politician during press conference caught on camera.,workplace_harassment,2,"IPC 354, IPC 354A",Video evidence. Politician arrested. She refused out-of-court settlement.,seed_verified
"stranger stalked woman for 3 months, followed her home, sent threatening messages.",stalking,2,"IPC 354D, IT Act 67",FIR under IPC 354D. Restraining order granted.,seed_verified
"ex-boyfriend followed her to work every day after breakup, stood outside her house at night.",stalking,2,"IPC 354D, IPC 506",Police warned him. He continued. FIR filed. Arrested. 3-year sentence.,seed_verified
"unknown man took photos of her at gym without consent, posted on social media.",stalking,2,"IPC 354D, IT Act 66E, IPC 354C",Cyber cell and police complaint. Man identified. Arrested.,seed_verified
man sent 200 messages a day to a woman after she rejected his proposal.,stalking,2,"IPC 354D, IPC 506",Police complaint. Man arrested. Order to maintain distance issued.,seed_verified
neighbour repeatedly followed her on morning walks and appeared wherever she went.,stalking,2,IPC 354D,Police FIR. Restraining order issued.,seed_verified
morphed obscene photos of her face circulated on whatsapp groups.,cyber_crime,3,"IT Act 66E, IT Act 67A, IPC 509",cybercrime.gov.in complaint. Content removed. Accused traced and arrested.,seed_verified
ex-husband sent nude photos to her parents as revenge after separation.,cyber_crime,3,"IT Act 66E, IT Act 67, IPC 354C",Police filed case under IT Act. Platforms notified. Husband arrested.,seed_verified
"man created fake instagram profile with her photos, chatted pretending to be her.",cyber_crime,3,"IT Act 66C, IT Act 66D, IPC 509",Cyber cell complaint. Fake profile taken down. Perpetrator arrested.,seed_verified
video of woman being assaulted was shared on pornographic websites without consent.,cyber_crime,4,"IT Act 67A, IPC 354C, IPC 376",IT Cell contacted platforms for takedown. FIR filed. Accused arrested.,seed_verified
boss sent obscene voice messages to female employee on work communication app.,cyber_crime,2,"IPC 354A, IT Act 67, POSH Act",Screenshots preserved. ICC and police approached. Boss suspended.,seed_verified
deepfake video created using her face in explicit content and shared in college group.,cyber_crime,4,"IT Act 66E, IT Act 67A, IPC 354C",College FIR. Cyber cell identified creator. Expelled and arrested.,seed_verified
man threatened to release her private photos if she did not pay rs 50000.,cyber_crime,3,"IPC 384, IT Act 66E, IT Act 67",Police cyber cell complaint. Man arrested. He was convicted.,seed_verified
someone accessed her icloud and shared her private photos in a telegram group.,cyber_crime,4,"IT Act 66C, IT Act 67A, IPC 354C",Cyber cell traced Telegram group admin. Arrested. Content removed.,seed_verified
unknown person sent threatening emails saying he knows her location.,cyber_stalking,2,"IPC 507, IPC 506, IPC 354D",Cyber cell traced sender. FIR filed. Restraining order granted.,seed_verified
man sent hundreds of threatening messages on instagram after she blocked him.,cyber_stalking,2,"IPC 354D, IT Act 67",Cyber cell FIR. Platform takedown. Man arrested.,seed_verified
someone created anonymous account to post her location and daily schedule publicly.,cyber_stalking,2,"IPC 354D, IT Act 66C",Cyber crime complaint. Anonymous account traced. Perpetrator arrested.,seed_verified
man posted her home address and phone number on a forum inviting harassment.,cyber_stalking,3,"IT Act 66E, IPC 509, IPC 506",Cyber cell FIR. Forum reported for content removal. Perpetrator arrested.,seed_verified
"in-laws demanded more dowry, confiscated jewellery, locked her inside house.",dowry_harassment,3,"IPC 498A, Dowry Prohibition Act 1961, IPC 342",NCW intervened. Jewellery recovered. In-laws booked under IPC 498A.,seed_verified
"husband family demanded rs 5 lakh cash 6 months after marriage, threatened to abandon her.",dowry_harassment,3,"IPC 498A, Dowry Prohibition Act 1961",Police FIR. Husband and in-laws arrested.,seed_verified
woman burnt to death by in-laws within 2 years of marriage due to dowry dispute.,dowry_harassment,4,"IPC 304B, IPC 498A, IPC 302",All in-laws arrested under IPC 304B. Life imprisonment for husband.,seed_verified
bride parents forced to give car as dowry at last minute before wedding.,dowry_harassment,2,Dowry Prohibition Act 1961 Section 3 and 4,FIR against groom family. Dowry Prohibition Officer investigated.,seed_verified
husband demanded dowry via whatsapp messages. screenshots used as evidence.,dowry_harassment,2,"IPC 498A, Dowry Prohibition Act 1961",Screenshots submitted as evidence. FIR filed.,seed_verified
ex-boyfriend threw acid on her face after she refused to resume relationship.,acid_attack,4,"IPC 326A, IPC 326B",FIR registered at hospital. Rs 3 lakh compensation. Chhanv Foundation rehabilitation.,seed_verified
neighbour threw acid on a 16-year-old girl after she rejected his advances.,acid_attack,4,"IPC 326A, POCSO Act",Arrested same day. Fast-track court. Convicted — life imprisonment.,seed_verified
woman acid attacked by jilted suitor outside her college gate.,acid_attack,4,"IPC 326A, IPC 326B",Witnesses helped catch attacker. 12-year sentence. Victim got compensation.,seed_verified
acid thrown on woman hands by husband relatives to mark her.,acid_attack,4,"IPC 326A, IPC 498A",All accused arrested. Victim received Rs 5 lakh from Victim Compensation Fund.,seed_verified
minor girl aged 16 trafficked from village under false promise of factory job.,trafficking,4,"IPC 370, POCSO Act, ITPA",Rescued by Prajwala. Trafficker convicted — 7 years. Girl enrolled in rehabilitation.,seed_verified
"woman lured to city with fake modelling job, forced into prostitution.",trafficking,4,"IPC 370, ITPA Section 3",Rescued in police raid. Trafficker arrested. Victim received Ujjawala scheme support.,seed_verified
bride sold by husband to another man within a month of marriage.,trafficking,4,"IPC 370, IPC 366",Both men arrested. Conviction — 10 years each.,seed_verified
woman forced into marriage at 15 by parents after receiving money from groom family.,trafficking,4,"Prohibition of Child Marriage Act 2006, IPC 370",Childline 1098 alerted. CWC intervened. Marriage declared void.,seed_verified
children trafficked from tribal village under guise of school enrollment.,trafficking,4,"IPC 370, JJ Act, POCSO Act",NGO rescued 12 children. Traffickers convicted. Children rehabilitated.,seed_verified
male relatives threatened to kill her for talking to a boy from another caste.,honour_crime,4,"IPC 506, IPC 120B, IPC 307",High Court protection order. Relatives arrested. Woman relocated safely.,seed_verified
woman killed by brother for marrying man of her choice. honour killing.,honour_crime,4,"IPC 302, IPC 120B",Brother sentenced to death. Rarest of rare ruling by Supreme Court.,seed_verified
khap panchayat ordered woman and her husband to separate. threatened violence.,honour_crime,4,"IPC 506, IPC 120B",High Court stayed panchayat order. Police protection provided.,seed_verified
girl family locked her up for 3 months after discovering her boyfriend from another religion.,honour_crime,3,"IPC 342, IPC 506, Article 21",Habeas corpus petition in High Court. Girl released.,seed_verified
woman threatened by in-laws for filing for divorce. asked to drop case.,honour_crime,3,"IPC 506, IPC 120B",Police protection granted. FIR against in-laws. Divorce proceedings continued.,seed_verified
unknown men groped her in a crowded public bus. she screamed but bystanders ignored.,molestation,2,"IPC 354, IPC 354A",CCTV footage used. Accused identified. Arrested.,seed_verified
man rubbed against her in metro train deliberately despite there being space.,molestation,2,"IPC 354, IPC 509",Metro security alerted. Man held. Police FIR filed.,seed_verified
doctor examined her inappropriately during a routine check-up.,molestation,3,"IPC 354, IPC 354A, IMC Act",Police FIR plus complaint to Medical Council. Doctor suspended.,seed_verified
religious leader at temple touched her inappropriately under guise of blessing.,molestation,2,"IPC 354, IPC 354A",Community members supported her complaint. Police FIR filed.,seed_verified
plumber at her house touched her without consent while pretending to show a pipe issue.,molestation,2,IPC 354,Police complaint. Man identified through agency records. FIR filed.,seed_verified
brothers refused to give her share of father property despite legal right.,property_rights,1,"Hindu Succession Act 2005, IPC 406",DLSA legal aid. Civil suit filed. Settled out of court.,seed_verified
in-laws sold marital home without informing wife after husband death.,property_rights,2,"Hindu Succession Act, IPC 406, IPC 420",Court issued stay on sale. Wife rights established.,seed_verified
"father gifted all property to sons, excluded daughters entirely from will.",property_rights,1,Hindu Succession Act 2005,Legal challenge filed. Court ruled in daughter favour. Equal share awarded.,seed_verified
husband transferred all shared property to his mother before filing for divorce.,property_rights,2,"IPC 406, IPC 420, Transfer of Property Act",Court reversed transfer as fraudulent. Property restored.,seed_verified
employer withheld salary for 4 months and threatened to cancel work permit.,labour_exploitation,2,"Payment of Wages Act, IPC 374",Labour commissioner complaint. Employer ordered to release dues.,seed_verified
garment factory women forced to work 14-hour shifts with no overtime pay.,labour_exploitation,2,"Factories Act 1948, Minimum Wages Act 1948",Labour inspector raid. Factory fined. Workers given overtime dues.,seed_verified
domestic worker not paid for 6 months and threatened with police if she complained.,labour_exploitation,2,"Payment of Wages Act, IPC 374, IPC 506",NGO SEWA helped file labour court case. All dues recovered.,seed_verified
migrant woman worker passport confiscated by employer. forced to work without pay.,labour_exploitation,3,"Bonded Labour Abolition Act, IPC 374, IPC 342",eMigrate helpline contacted. Passport recovered. Employer arrested.,seed_verified
women agricultural workers paid rs 50 per day less than male workers for same work.,labour_exploitation,1,"Equal Remuneration Act 1976, Minimum Wages Act",Labour department complaint. Employer directed to equalise pay.,seed_verified
spouse beat wife repeatedly over dowry demands. she was hospitalised twice.,domestic_violence,3,"IPC 498A, IPC 323, DV Act 2005",Filed FIR. Court granted protection order. Majlis Law provided legal aid. Husband arrested.,augmented
spouse strangled wife and attempted to kill her. she escaped to a neighbour's house.,domestic_violence,4,"IPC 307, IPC 498A, DV Act 2005",Emergency shelter at One Stop Centre. FIR under IPC 307. Husband remanded to custody.,augmented
spouse poured kerosene on wife and set her on fire after a dowry dispute. 40 burns.,domestic_violence,4,"IPC 307, IPC 498A, IPC 304B",Husband arrested. Treated at government burns unit. Convicted — 10 years imprisonment.,augmented
spouse verbally abuses wife every day in front of children. no physical violence.,domestic_violence,1,"DV Act 2005 Section 3, IPC 509",Protection Officer issued formal warning. Counselling ordered.,augmented
"spouse gambled away all savings, sold wife jewellery without consent, denies her money for food.",domestic_violence,2,"DV Act 2005 Section 3, IPC 406",Court ordered Rs 5000/month maintenance.,augmented
mother-in-law and spouse harassed woman for not producing a male child. starved her.,domestic_violence,3,"IPC 498A, DV Act 2005",NCW intervened. Protection order granted.,augmented
spouse forced wife to work as domestic help and took all her earnings.,domestic_violence,2,"DV Act 2005, IPC 374",Court ordered husband to return wages and pay maintenance.,augmented
woman beaten every time spouse drank alcohol. ribs broken on two occasions.,domestic_violence,4,"IPC 498A, IPC 325, DV Act 2005",Majlis Law filed FIR. Husband convicted under IPC 325.,augmented
spouse burned her hands on stove when dinner was not ready on time.,domestic_violence,4,"IPC 307, IPC 326, IPC 498A",Neighbour called police. Husband arrested. Fast-track court case filed.,augmented
spouse sent her abusive voice notes threatening to throw her out with no money.,domestic_violence,2,"IPC 498A, IPC 506, DV Act 2005",Voice notes used as evidence. Protection officer issued notice.,augmented
woman not given food for 3 days as punishment for talking to the woman parents on phone.,domestic_violence,3,"IPC 498A, DV Act 2005",One Stop Centre gave immediate shelter. FIR filed. Husband arrested.,augmented
spouse forced wife to sign blank documents and transferred her savings to his account.,domestic_violence,3,"IPC 406, IPC 420, DV Act 2005",Bank alerted. Transactions reversed by court order.,augmented
spouse threatened to take away children if wife reported domestic violence.,domestic_violence,3,"IPC 498A, IPC 506, DV Act 2005",Court granted interim custody to wife. Protection order issued.,augmented
gang rape by two men known to the victim. family pressured the woman not to report.,sexual_assault,4,"IPC 376D, IPC 506",One Stop Centre provided shelter. Fast-track court convicted both men.,augmented
father-in-law sexually assaulted her repeatedly when spouse was away for work.,sexual_assault,4,"IPC 376, IPC 498A, DV Act 2005",iCall helpline guided her to police. FIR registered. Accused arrested.,augmented
minor girl aged 14 raped by school teacthe woman during extra class.,sexual_assault,4,"POCSO Act, IPC 376",Teacher arrested. POCSO court convicted him — 10 years jail.,augmented
colleague drugged the woman drink at office party and assaulted her.,sexual_assault,4,"IPC 376, IPC 328",Medical examination confirmed assault. Accused arrested. DNA evidence used.,augmented
stepfatthe woman sexually abused daughter from age 10 to 15.,sexual_assault,4,"POCSO Act, IPC 376 AB",Teacher reported to CWC. Stepfather arrested. Convicted — 20 years.,augmented
woman assaulted by security guard at the woman apartment complex at night.,sexual_assault,4,"IPC 376, IPC 354",CCTV evidence. Guard arrested same night. Fast-track case filed.,augmented
male colleague sent explicit texts and touched her inappropriately at workplace.,workplace_harassment,2,"IPC 354A, POSH Act 2013",Filed complaint with ICC. ICC found accused guilty. Terminated.,augmented
boss intimidated to fire her if she did not comply with his sexual advances.,workplace_harassment,2,"IPC 354A, POSH Act 2013, IPC 506",ECC found employer guilty. Compensation offered.,augmented
senior male teacthe woman made obscene comments to a 17-year-old student repeatedly.,workplace_harassment,3,"POCSO Act Section 11, IPC 354A",FIR under POCSO. Teacher arrested and suspended.,augmented
employer took explicit photos of woman employee during office trip without the woman knowledge.,workplace_harassment,3,"IT Act 66E, IPC 354C, POSH Act",ICC investigation plus police FIR. Employer convicted.,augmented
"stranger stalked woman for 3 months, followed her home, sent threatening texts.",stalking,2,"IPC 354D, IT Act 67",FIR under IPC 354D. Restraining order granted.,augmented
"ex-boyfriend followed the woman to work every day after breakup, stood outside her house at night.",stalking,2,"IPC 354D, IPC 506",Police warned him. He continued. FIR filed. Arrested. 3-year sentence.,augmented
"unknown man took photos of the woman at gym without consent, posted on social media.",stalking,2,"IPC 354D, IT Act 66E, IPC 354C",Cyber cell and police complaint. Man identified. Arrested.,augmented
man sent 200 texts a day to a woman after she rejected his proposal.,stalking,2,"IPC 354D, IPC 506",Police complaint. Man arrested. Order to maintain distance issued.,augmented
neighbour repeatedly followed the woman on morning walks and appeared wherever she went.,stalking,2,IPC 354D,Police FIR. Restraining order issued.,augmented
morphed obscene photos of the woman face circulated on whatsapp groups.,cyber_crime,3,"IT Act 66E, IT Act 67A, IPC 509",cybercrime.gov.in complaint. Content removed. Accused traced and arrested.,augmented
ex-spouse sent nude photos to her parents as revenge after separation.,cyber_crime,3,"IT Act 66E, IT Act 67, IPC 354C",Police filed case under IT Act. Platforms notified. Husband arrested.,augmented
"man created fake instagram profile with the woman photos, chatted pretending to be her.",cyber_crime,3,"IT Act 66C, IT Act 66D, IPC 509",Cyber cell complaint. Fake profile taken down. Perpetrator arrested.,augmented
boss sent obscene voice texts to female employee on work communication app.,cyber_crime,2,"IPC 354A, IT Act 67, POSH Act",Screenshots preserved. ICC and police approached. Boss suspended.,augmented
deepfake video created using the woman face in explicit content and shared in college group.,cyber_crime,4,"IT Act 66E, IT Act 67A, IPC 354C",College FIR. Cyber cell identified creator. Expelled and arrested.,augmented
man intimidated to release her private photos if she did not pay rs 50000.,cyber_crime,3,"IPC 384, IT Act 66E, IT Act 67",Police cyber cell complaint. Man arrested. He was convicted.,augmented
someone accessed the woman icloud and shared her private photos in a telegram group.,cyber_crime,4,"IT Act 66C, IT Act 67A, IPC 354C",Cyber cell traced Telegram group admin. Arrested. Content removed.,augmented
unknown person sent threatening emails saying he knows the woman location.,cyber_stalking,2,"IPC 507, IPC 506, IPC 354D",Cyber cell traced sender. FIR filed. Restraining order granted.,augmented
man sent hundreds of threatening texts on instagram after she blocked him.,cyber_stalking,2,"IPC 354D, IT Act 67",Cyber cell FIR. Platform takedown. Man arrested.,augmented
someone created anonymous account to post the woman location and daily schedule publicly.,cyber_stalking,2,"IPC 354D, IT Act 66C",Cyber crime complaint. Anonymous account traced. Perpetrator arrested.,augmented
man posted the woman home address and phone number on a forum inviting harassment.,cyber_stalking,3,"IT Act 66E, IPC 509, IPC 506",Cyber cell FIR. Forum reported for content removal. Perpetrator arrested.,augmented
"in-laws demanded more dowry, confiscated jewellery, locked the woman inside house.",dowry_harassment,3,"IPC 498A, Dowry Prohibition Act 1961, IPC 342",NCW intervened. Jewellery recovered. In-laws booked under IPC 498A.,augmented
"spouse family demanded rs 5 lakh cash 6 months after marriage, threatened to abandon her.",dowry_harassment,3,"IPC 498A, Dowry Prohibition Act 1961",Police FIR. Husband and in-laws arrested.,augmented
spouse demanded dowry via whatsapp messages. screenshots used as evidence.,dowry_harassment,2,"IPC 498A, Dowry Prohibition Act 1961",Screenshots submitted as evidence. FIR filed.,augmented
ex-boyfriend threw acid on the woman face after she refused to resume relationship.,acid_attack,4,"IPC 326A, IPC 326B",FIR registered at hospital. Rs 3 lakh compensation. Chhanv Foundation rehabilitation.,augmented
woman acid attacked by jilted suitor outside the woman college gate.,acid_attack,4,"IPC 326A, IPC 326B",Witnesses helped catch attacker. 12-year sentence. Victim got compensation.,augmented
acid thrown on woman hands by spouse relatives to mark her.,acid_attack,4,"IPC 326A, IPC 498A",All accused arrested. Victim received Rs 5 lakh from Victim Compensation Fund.,augmented
bride sold by spouse to another man within a month of marriage.,trafficking,4,"IPC 370, IPC 366",Both men arrested. Conviction — 10 years each.,augmented
male relatives intimidated to kill her for talking to a boy from another caste.,honour_crime,4,"IPC 506, IPC 120B, IPC 307",High Court protection order. Relatives arrested. Woman relocated safely.,augmented
woman killed by brotthe woman for marrying man of her choice. honour killing.,honour_crime,4,"IPC 302, IPC 120B",Brother sentenced to death. Rarest of rare ruling by Supreme Court.,augmented
khap panchayat ordered woman and her spouse to separate. threatened violence.,honour_crime,4,"IPC 506, IPC 120B",High Court stayed panchayat order. Police protection provided.,augmented
girl family locked the woman up for 3 months after discovering her boyfriend from another religion.,honour_crime,3,"IPC 342, IPC 506, Article 21",Habeas corpus petition in High Court. Girl released.,augmented
woman intimidated by in-laws for filing for divorce. asked to drop case.,honour_crime,3,"IPC 506, IPC 120B",Police protection granted. FIR against in-laws. Divorce proceedings continued.,augmented
unknown men groped the woman in a crowded public bus. she screamed but bystanders ignored.,molestation,2,"IPC 354, IPC 354A",CCTV footage used. Accused identified. Arrested.,augmented
man rubbed against the woman in metro train deliberately despite there being space.,molestation,2,"IPC 354, IPC 509",Metro security alerted. Man held. Police FIR filed.,augmented
doctor examined the woman inappropriately during a routine check-up.,molestation,3,"IPC 354, IPC 354A, IMC Act",Police FIR plus complaint to Medical Council. Doctor suspended.,augmented
religious leader at temple touched the woman inappropriately under guise of blessing.,molestation,2,"IPC 354, IPC 354A",Community members supported her complaint. Police FIR filed.,augmented
plumber at the woman house touched her without consent while pretending to show a pipe issue.,molestation,2,IPC 354,Police complaint. Man identified through agency records. FIR filed.,augmented
brothers refused to give the woman share of father property despite legal right.,property_rights,1,"Hindu Succession Act 2005, IPC 406",DLSA legal aid. Civil suit filed. Settled out of court.,augmented
in-laws sold marital home without informing wife after spouse death.,property_rights,2,"Hindu Succession Act, IPC 406, IPC 420",Court issued stay on sale. Wife rights established.,augmented
"fatthe woman gifted all property to sons, excluded daughters entirely from will.",property_rights,1,Hindu Succession Act 2005,Legal challenge filed. Court ruled in daughter favour. Equal share awarded.,augmented
spouse transferred all shared property to his mother before filing for divorce.,property_rights,2,"IPC 406, IPC 420, Transfer of Property Act",Court reversed transfer as fraudulent. Property restored.,augmented
employer withheld salary for 4 months and intimidated to cancel work permit.,labour_exploitation,2,"Payment of Wages Act, IPC 374",Labour commissioner complaint. Employer ordered to release dues.,augmented
domestic worker not paid for 6 months and intimidated with police if she complained.,labour_exploitation,2,"Payment of Wages Act, IPC 374, IPC 506",NGO SEWA helped file labour court case. All dues recovered.,augmented
I was touched inappropriately in a bus yesterday by a stranger.,molestation,2,"IPC 354, IPC 354A",Police complaint filed. CCTV footage used. Accused identified and arrested.,seed_verified
A man groped me in the public bus today while it was crowded.,molestation,2,"IPC 354, IPC 354A",FIR filed under IPC 354. Man identified through bus CCTV. Arrested.,seed_verified
Someone touched me without my consent on the metro train this morning.,molestation,2,"IPC 354, IPC 354A",Metro security alerted. Police FIR filed. Man detained.,seed_verified
I was molested in a crowded market. A man grabbed me from behind.,molestation,2,"IPC 354, IPC 354A",Police complaint registered. Accused arrested based on witness accounts.,seed_verified
A man touched me inappropriately while I was standing in a queue.,molestation,2,"IPC 354, IPC 509",FIR filed. Police used CCTV. Accused arrested and fined.,seed_verified
Someone groped me at a concert. I screamed and people held him.,molestation,2,"IPC 354, IPC 354A",Bystanders caught accused. Handed over to police. FIR registered.,seed_verified
I was inappropriately touched by a stranger at the railway station.,molestation,2,"IPC 354, IPC 354A",RPF (Railway Police Force) complaint filed. Accused arrested.,seed_verified
An auto driver touched me when I sat in the auto. I got out immediately.,molestation,2,"IPC 354, IPC 354A",Police complaint with vehicle number. Driver identified and arrested.,seed_verified
A man sitting next to me in the bus deliberately kept touching my arm.,molestation,2,IPC 354,Complained to bus conductor. Man removed. Later FIR filed at police station.,seed_verified
Someone pinched me in a crowded street festival. I could not see who it was.,molestation,2,IPC 354,Police complaint filed. Area CCTV reviewed. Awareness drive launched.,seed_verified
I was groped by a man while travelling in a shared auto.,molestation,2,"IPC 354, IPC 354A",FIR filed. Auto number traced. Driver identified and arrested.,seed_verified
A stranger touched me inappropriately at the hospital waiting area.,molestation,2,IPC 354,Hospital security complaint. Police called. FIR registered.,seed_verified
Man touched me without consent in a shopping mall elevator.,molestation,2,"IPC 354, IPC 354A",Mall CCTV footage obtained. Man identified. Arrested under IPC 354.,seed_verified
I was touched inappropriately by a colleague during a team outing.,molestation,2,"IPC 354A, POSH Act 2013",ICC complaint filed. Colleague suspended pending inquiry. FIR also registered.,seed_verified
Someone groped me from behind while I was at an ATM.,molestation,2,"IPC 354, IPC 354A",ATM CCTV footage obtained. Accused traced and arrested by police.,seed_verified
A man keeps following me every day when I walk to college.,stalking,2,IPC 354D,FIR under IPC 354D. Restraining order granted. College security alerted.,seed_verified
Someone I don't know follows me to the bus stop every morning.,stalking,2,IPC 354D,Police warned the person. He continued. FIR filed. Arrested.,seed_verified
An unknown person has been following me for weeks and staring at me.,stalking,2,IPC 354D,Police complaint filed. Person warned formally. Restraining order issued.,seed_verified
Someone shared my private photos on a WhatsApp group without my permission.,cyber_crime,3,"IT Act 66E, IT Act 67A, IPC 354C",Cyber crime complaint filed. Content removed. Accused traced and arrested.,seed_verified
My ex boyfriend posted my photos online after we broke up.,cyber_crime,3,"IT Act 66E, IT Act 67, IPC 354C",Police filed case. Platform notified. Photos removed. Ex arrested.,seed_verified
Someone made a fake account with my photos and is sending messages to my contacts.,cyber_crime,3,"IT Act 66C, IT Act 66D, IPC 509",Cyber cell complaint. Fake account removed. Perpetrator identified and arrested.,seed_verified
My husband slaps me whenever he comes home drunk at night.,domestic_violence,3,"IPC 498A, IPC 323, DV Act 2005",FIR filed under IPC 498A. Protection order granted. Husband arrested.,seed_verified
My in-laws abuse me verbally every single day and my husband does nothing.,domestic_violence,2,"IPC 498A, DV Act 2005 Section 3",DV complaint filed. Protection officer issued notice. Counselling ordered.,seed_verified
I was raped by my neighbour when I was alone at home.,sexual_assault,4,IPC 376,FIR registered. Medical examination done. Neighbour arrested. Fast-track court case.,seed_verified
A man forced himself on me in a taxi late at night.,sexual_assault,4,"IPC 376, IPC 342",GPS data used. Driver arrested. Fast-track court. Convicted.,seed_verified
